Emp_ID,Current_Avg_Level,LAST_Avg_Level,Avg_Time
31,0.09,0.62,4
45,0.09,0.89,4
72,0.09,0.77,4
74,0.09,0.87,4
95,0.09,0.83,4
104,0.09,0.94,4
112,0.09,0.85,4
129,0.09,0.82,4
141,0.09,0.96,4
187,0.09,0.85,4
191,0.09,0.8,5
194,0.09,0.82,4
196,0.09,0.8,4
274,0.09,0.96,4
279,0.09,0.78,4
333,0.09,0.98,4
341,0.09,0.89,5
351,0.09,0.8,5
360,0.09,0.91,4
398,0.09,0.79,5
408,0.09,0.94,4
421,0.09,0.96,4
446,0.09,0.94,5
455,0.09,0.97,4
468,0.09,0.95,4
478,0.09,0.79,4
513,0.09,0.96,4
518,0.09,0.86,4
528,0.09,0.9,4
529,0.09,0.8,5
561,0.09,0.86,4
596,0.09,0.87,4
611,0.09,0.95,4
615,0.09,0.9,4
652,0.09,0.88,4
653,0.09,0.77,4
688,0.09,0.92,4
689,0.09,0.82,4
730,0.09,0.83,4
762,0.09,0.93,4
766,0.09,0.87,2
812,0.09,0.97,4
838,0.09,0.93,4
908,0.09,0.86,4
951,0.09,0.9,5
953,0.09,0.94,4
967,0.09,0.85,4
991,0.09,0.77,4
1005,0.09,0.8,4
1028,0.09,0.9,4
1038,0.09,0.97,4
1052,0.09,0.92,4
1054,0.09,0.78,4
1055,0.09,0.84,4
1077,0.09,0.79,4
1102,0.09,0.97,4
1111,0.09,0.82,4
1113,0.09,0.82,4
1117,0.09,0.85,4
1139,0.09,0.92,5
1171,0.09,0.91,4
1175,0.09,0.8,4
1189,0.09,0.8,4
1192,0.09,0.77,5
1199,0.09,0.8,4
1206,0.09,0.84,4
1212,0.09,0.77,4
1215,0.09,0.87,4
1225,0.09,0.84,4
1233,0.09,0.88,4
1248,0.09,0.94,4
1261,0.09,0.95,4
1288,0.09,0.83,4
1303,0.09,0.78,4
1309,0.09,0.94,4
1332,0.09,0.86,4
1387,0.09,0.93,4
1429,0.09,0.87,4
1474,0.09,0.96,4
1481,0.09,0.93,4
1483,0.09,0.77,4
1537,0.09,0.84,4
1548,0.09,0.83,4
1551,0.09,0.87,4
1561,0.09,0.83,4
1588,0.09,0.96,4
1612,0.09,0.92,4
1638,0.09,0.91,4
1644,0.09,0.83,5
1656,0.09,0.9,4
1676,0.09,0.93,4
1681,0.09,0.96,5
1702,0.09,0.77,5
1746,0.09,0.78,4
1750,0.09,0.91,4
1762,0.09,0.85,4
1772,0.09,0.86,4
1776,0.09,0.93,5
1786,0.09,0.96,4
1792,0.09,0.92,4
1801,0.09,0.78,4
1835,0.09,0.9,4
1848,0.09,0.84,4
1874,0.09,0.93,4
1883,0.09,0.89,4
1928,0.09,0.95,4
1944,0.09,0.93,4
1956,0.09,0.81,4
1964,0.09,0.89,4
7,0.1,0.77,4
36,0.1,0.94,4
44,0.1,0.8,4
55,0.1,0.92,4
58,0.1,0.81,4
63,0.1,0.95,5
77,0.1,0.83,4
90,0.1,0.79,4
97,0.1,0.77,4
98,0.1,0.84,4
131,0.1,0.83,4
137,0.1,0.84,4
161,0.1,0.95,4
174,0.1,0.88,4
182,0.1,0.84,4
198,0.1,0.91,4
199,0.1,0.89,4
204,0.1,0.93,4
221,0.1,0.84,4
240,0.1,0.97,4
241,0.1,0.87,4
277,0.1,0.97,4
281,0.1,0.98,4
284,0.1,0.93,4
295,0.1,0.93,4
303,0.1,0.77,5
310,0.1,0.94,4
311,0.1,0.93,4
315,0.1,0.81,4
329,0.1,0.85,4
335,0.1,0.81,4
340,0.1,0.91,4
346,0.1,0.86,4
361,0.1,0.87,4
367,0.1,0.83,4
370,0.1,0.82,4
387,0.1,0.93,4
388,0.1,0.97,4
400,0.1,0.87,4
422,0.1,0.94,4
435,0.1,0.84,4
448,0.1,0.84,4
453,0.1,0.87,4
471,0.1,0.85,4
482,0.1,0.79,4
489,0.1,0.83,4
494,0.1,0.94,4
497,0.1,0.82,4
517,0.1,0.89,4
523,0.1,0.95,4
533,0.1,0.84,4
556,0.1,0.9,4
564,0.1,0.77,4
568,0.1,0.97,4
593,0.1,0.8,4
595,0.1,0.77,4
603,0.1,0.84,4
610,0.1,0.85,4
616,0.1,0.88,4
622,0.1,0.86,4
623,0.1,0.55,4
631,0.1,0.9,4
655,0.1,0.89,4
664,0.1,0.79,5
665,0.1,0.77,4
669,0.1,0.92,4
681,0.1,0.83,4
687,0.1,0.96,4
694,0.1,0.83,4
697,0.1,0.81,4
741,0.1,0.89,4
761,0.1,0.9,4
769,0.1,0.84,5
771,0.1,0.83,4
772,0.1,0.86,4
777,0.1,0.97,5
779,0.1,0.92,4
790,0.1,0.92,4
804,0.1,0.77,4
815,0.1,0.92,4
827,0.1,0.93,4
843,0.1,0.85,4
847,0.1,0.84,4
849,0.1,0.81,4
857,0.1,0.85,4
860,0.1,0.93,4
865,0.1,0.94,4
873,0.1,0.9,4
896,0.1,0.79,4
907,0.1,0.78,4
934,0.1,0.96,4
935,0.1,0.91,4
937,0.1,0.95,4
939,0.1,0.89,4
956,0.1,0.91,5
960,0.1,0.94,4
975,0.1,0.81,4
988,0.1,0.79,4
1013,0.1,0.87,4
1030,0.1,0.82,4
1031,0.1,0.97,4
1035,0.1,0.86,4
1036,0.1,0.95,4
1056,0.1,0.8,5
1070,0.1,0.89,4
1096,0.1,0.77,4
1109,0.1,0.91,4
1114,0.1,0.87,4
1124,0.1,0.9,4
1128,0.1,0.85,4
1129,0.1,0.89,4
1144,0.1,0.91,4
1154,0.1,0.88,4
1166,0.1,0.96,4
1188,0.1,0.93,4
1202,0.1,0.77,4
1209,0.1,0.79,4
1210,0.1,0.93,4
1229,0.1,0.85,5
1243,0.1,0.85,5
1245,0.1,0.77,4
1246,0.1,0.93,4
1250,0.1,0.82,4
1266,0.1,0.92,4
1276,0.1,0.83,5
1292,0.1,0.9,5
1301,0.1,0.97,4
1313,0.1,0.92,4
1321,0.1,0.86,4
1327,0.1,0.77,4
1329,0.1,0.96,4
1330,0.1,0.81,4
1333,0.1,0.8,4
1341,0.1,0.96,4
1348,0.1,0.96,4
1355,0.1,0.92,4
1357,0.1,0.79,4
1366,0.1,0.83,4
1383,0.1,0.88,4
1419,0.1,0.95,4
1423,0.1,0.82,4
1426,0.1,0.94,4
1439,0.1,0.89,4
1458,0.1,0.81,4
1465,0.1,0.92,4
1467,0.1,0.83,4
1468,0.1,0.89,4
1489,0.1,0.96,4
1497,0.1,0.85,4
1503,0.1,0.83,5
1515,0.1,0.68,3
1523,0.1,0.82,4
1526,0.1,0.8,4
1535,0.1,0.94,5
1546,0.1,0.78,4
1566,0.1,0.86,5
1567,0.1,0.96,4
1579,0.1,0.96,5
1590,0.1,0.81,4
1594,0.1,0.87,4
1616,0.1,0.93,4
1627,0.1,0.87,5
1631,0.1,0.86,4
1632,0.1,0.85,4
1647,0.1,0.93,4
1649,0.1,0.97,4
1654,0.1,0.88,4
1655,0.1,0.89,4
1665,0.1,0.96,4
1677,0.1,0.81,4
1695,0.1,0.87,4
1698,0.1,0.87,4
1699,0.1,0.8,4
1706,0.1,0.91,4
1710,0.1,0.81,4
1717,0.1,0.9,5
1726,0.1,0.86,4
1738,0.1,0.83,4
1743,0.1,0.89,5
1753,0.1,0.95,5
1757,0.1,0.87,4
1806,0.1,0.87,5
1814,0.1,0.81,4
1824,0.1,0.89,4
1827,0.1,0.86,4
1828,0.1,0.95,4
1830,0.1,0.93,4
1834,0.1,0.85,4
1838,0.1,0.79,4
1839,0.1,0.9,4
1841,0.1,0.97,4
1863,0.1,0.9,4
1864,0.1,0.81,5
1873,0.1,0.87,5
1886,0.1,0.86,4
1889,0.1,0.81,4
1894,0.1,0.83,5
1898,0.1,0.94,4
1905,0.1,0.78,4
1911,0.1,0.84,5
1929,0.1,0.97,4
1940,0.1,0.79,4
1967,0.1,0.98,4
1981,0.1,0.79,5
12007,0.1,0.77,4
12036,0.1,0.94,4
12044,0.1,0.8,4
12055,0.1,0.92,4
12058,0.1,0.81,4
12063,0.1,0.95,5
12077,0.1,0.83,4
12090,0.1,0.79,4
12097,0.1,0.77,4
12098,0.1,0.84,4
12131,0.1,0.83,4
12137,0.1,0.84,4
12161,0.1,0.95,4
12174,0.1,0.88,4
12182,0.1,0.84,4
12198,0.1,0.91,4
12199,0.1,0.89,4
12204,0.1,0.93,4
12221,0.1,0.84,4
12240,0.1,0.97,4
12241,0.1,0.87,4
12277,0.1,0.97,4
12281,0.1,0.98,4
12284,0.1,0.93,4
12295,0.1,0.93,4
12303,0.1,0.77,5
12310,0.1,0.94,4
12311,0.1,0.93,4
12315,0.1,0.81,4
12329,0.1,0.85,4
12335,0.1,0.81,4
12340,0.1,0.91,4
12346,0.1,0.86,4
12361,0.1,0.87,4
12367,0.1,0.83,4
12370,0.1,0.82,4
12387,0.1,0.93,4
12388,0.1,0.97,4
12400,0.1,0.87,4
12422,0.1,0.94,4
12435,0.1,0.84,4
12448,0.1,0.84,4
12453,0.1,0.87,4
12471,0.1,0.85,4
12482,0.1,0.79,4
12489,0.1,0.83,4
12494,0.1,0.94,4
12497,0.1,0.82,4
12517,0.1,0.89,4
12523,0.1,0.95,4
12533,0.1,0.84,4
12556,0.1,0.9,4
12564,0.1,0.77,4
12568,0.1,0.97,4
12593,0.1,0.8,4
12595,0.1,0.77,4
12603,0.1,0.84,4
12610,0.1,0.85,4
12616,0.1,0.88,4
12622,0.1,0.86,4
12623,0.1,0.55,4
12631,0.1,0.9,4
12655,0.1,0.89,4
12664,0.1,0.79,5
12665,0.1,0.77,4
12669,0.1,0.92,4
12681,0.1,0.83,4
12687,0.1,0.96,4
12694,0.1,0.83,4
12697,0.1,0.81,4
12741,0.1,0.89,4
12761,0.1,0.9,4
12769,0.1,0.84,5
12771,0.1,0.83,4
12772,0.1,0.86,4
12777,0.1,0.97,5
12779,0.1,0.92,4
14218,0.1,0.77,4
14247,0.1,0.94,4
14255,0.1,0.8,4
14266,0.1,0.92,4
14269,0.1,0.81,4
14274,0.1,0.95,5
14288,0.1,0.83,4
14301,0.1,0.79,4
14308,0.1,0.77,4
14309,0.1,0.84,4
14342,0.1,0.83,4
14348,0.1,0.84,4
14372,0.1,0.95,4
14385,0.1,0.88,4
14393,0.1,0.84,4
14409,0.1,0.91,4
14410,0.1,0.89,4
14415,0.1,0.93,4
14432,0.1,0.84,4
14451,0.1,0.97,4
14452,0.1,0.87,4
14488,0.1,0.97,4
14492,0.1,0.98,4
14495,0.1,0.93,4
14506,0.1,0.93,4
14514,0.1,0.77,5
14521,0.1,0.94,4
14522,0.1,0.93,4
14526,0.1,0.81,4
14540,0.1,0.85,4
14546,0.1,0.81,4
14551,0.1,0.91,4
14557,0.1,0.86,4
14572,0.1,0.87,4
14578,0.1,0.83,4
14581,0.1,0.82,4
14598,0.1,0.93,4
14599,0.1,0.97,4
14611,0.1,0.87,4
14633,0.1,0.94,4
14646,0.1,0.84,4
14659,0.1,0.84,4
14664,0.1,0.87,4
14682,0.1,0.85,4
14693,0.1,0.79,4
14700,0.1,0.83,4
14705,0.1,0.94,4
14708,0.1,0.82,4
14728,0.1,0.89,4
14734,0.1,0.95,4
14744,0.1,0.84,4
14767,0.1,0.9,4
14775,0.1,0.77,4
14779,0.1,0.97,4
14804,0.1,0.8,4
14806,0.1,0.77,4
14814,0.1,0.84,4
14821,0.1,0.85,4
14827,0.1,0.88,4
14833,0.1,0.86,4
14834,0.1,0.55,4
14842,0.1,0.9,4
14866,0.1,0.89,4
14874,0.1,0.79,4
14875,0.1,0.9,4
14877,0.1,0.97,4
14899,0.1,0.9,4
14900,0.1,0.81,5
14909,0.1,0.87,5
14922,0.1,0.86,4
14925,0.1,0.81,4
14930,0.1,0.83,5
14934,0.1,0.94,4
14941,0.1,0.78,4
14947,0.1,0.84,5
14965,0.1,0.97,4
14976,0.1,0.79,4
12003,0.11,0.88,4
12012,0.11,0.81,4
12021,0.11,0.83,4
12039,0.11,0.89,4
12057,0.11,0.94,4
12062,0.11,0.93,4
12065,0.11,0.94,4
12075,0.11,0.97,4
12076,0.11,0.79,4
12085,0.11,0.77,4
12086,0.11,0.87,4
12099,0.11,0.97,4
12118,0.11,0.84,4
12124,0.11,0.84,5
12126,0.11,0.92,4
12143,0.11,0.8,4
12148,0.11,0.87,4
12151,0.11,0.91,4
12156,0.11,0.8,4
12158,0.11,0.92,4
12166,0.11,0.84,4
12173,0.11,0.78,4
12180,0.11,0.85,5
12184,0.11,0.8,4
12233,0.11,0.83,4
12250,0.11,0.84,4
12257,0.11,0.81,4
12260,0.11,0.84,4
12264,0.11,0.78,4
12267,0.11,0.95,4
12272,0.11,0.84,4
12275,0.11,0.9,4
12287,0.11,0.83,4
12288,0.11,0.79,4
12294,0.11,0.91,4
12308,0.11,0.81,4
12312,0.11,0.95,4
12319,0.11,0.94,4
12324,0.11,0.91,4
12332,0.11,0.85,4
12348,0.11,0.8,4
12349,0.11,0.84,4
12394,0.11,0.93,4
12418,0.11,0.9,4
12437,0.11,0.85,4
12477,0.11,0.87,4
12480,0.11,0.96,5
12493,0.11,0.83,4
12503,0.11,0.87,5
12506,0.11,0.97,5
12514,0.11,0.89,4
12537,0.11,0.85,4
12540,0.11,0.94,4
12551,0.11,0.96,4
12560,0.11,0.8,4
12567,0.11,0.79,4
12598,0.11,0.9,4
12600,0.11,0.92,4
12605,0.11,0.79,4
12608,0.11,0.88,4
12633,0.11,0.89,5
12671,0.11,0.95,4
12672,0.11,0.94,4
12677,0.11,0.82,4
12683,0.11,0.87,4
12698,0.11,0.8,4
12709,0.11,0.87,4
12718,0.11,0.78,4
12735,0.11,0.92,4
12739,0.11,0.87,4
12740,0.11,0.85,4
12744,0.11,0.9,4
12746,0.11,0.78,4
12778,0.11,0.93,4
12780,0.11,0.9,4
14214,0.11,0.88,4
14223,0.11,0.81,4
14232,0.11,0.83,4
14250,0.11,0.89,4
14268,0.11,0.94,4
14273,0.11,0.93,4
14276,0.11,0.94,4
14286,0.11,0.97,4
14287,0.11,0.79,4
14296,0.11,0.77,4
14297,0.11,0.87,4
14310,0.11,0.97,4
14329,0.11,0.84,4
14335,0.11,0.84,5
14337,0.11,0.92,4
14354,0.11,0.8,4
14359,0.11,0.87,4
14362,0.11,0.91,4
14367,0.11,0.8,4
14369,0.11,0.92,4
14377,0.11,0.84,4
14384,0.11,0.78,4
14391,0.11,0.85,5
14395,0.11,0.8,4
14444,0.11,0.83,4
14461,0.11,0.84,4
14468,0.11,0.81,4
14471,0.11,0.84,4
14475,0.11,0.78,4
14478,0.11,0.95,4
14483,0.11,0.84,4
14486,0.11,0.9,4
14498,0.11,0.83,4
14499,0.11,0.79,4
14505,0.11,0.91,4
14519,0.11,0.81,4
14523,0.11,0.95,4
14530,0.11,0.94,4
14535,0.11,0.91,4
14543,0.11,0.85,4
14559,0.11,0.8,4
14560,0.11,0.84,4
14605,0.11,0.93,4
14629,0.11,0.9,4
14648,0.11,0.85,4
14688,0.11,0.87,4
14691,0.11,0.96,5
14704,0.11,0.83,4
14714,0.11,0.87,5
14717,0.11,0.97,5
14725,0.11,0.89,4
14748,0.11,0.85,4
14751,0.11,0.94,4
14762,0.11,0.96,4
14771,0.11,0.8,4
14778,0.11,0.79,4
14809,0.11,0.9,4
14811,0.11,0.92,4
14816,0.11,0.79,4
14819,0.11,0.88,4
14844,0.11,0.89,5
14893,0.11,0.92,4
14894,0.11,0.9,4
14898,0.11,0.92,4
14902,0.11,0.93,5
14906,0.11,0.77,4
14913,0.11,0.8,4
14923,0.11,0.86,4
14926,0.11,0.95,4
14931,0.11,0.89,4
14973,0.11,0.97,4
14998,0.11,0.96,4
3,0.11,0.88,4
12,0.11,0.81,4
21,0.11,0.83,4
39,0.11,0.89,4
57,0.11,0.94,4
62,0.11,0.93,4
65,0.11,0.94,4
75,0.11,0.97,4
76,0.11,0.79,4
85,0.11,0.77,4
86,0.11,0.87,4
99,0.11,0.97,4
118,0.11,0.84,4
124,0.11,0.84,5
126,0.11,0.92,4
143,0.11,0.8,4
148,0.11,0.87,4
151,0.11,0.91,4
156,0.11,0.8,4
158,0.11,0.92,4
166,0.11,0.84,4
173,0.11,0.78,4
180,0.11,0.85,5
184,0.11,0.8,4
233,0.11,0.83,4
250,0.11,0.84,4
257,0.11,0.81,4
260,0.11,0.84,4
264,0.11,0.78,4
267,0.11,0.95,4
272,0.11,0.84,4
275,0.11,0.9,4
287,0.11,0.83,4
288,0.11,0.79,4
294,0.11,0.91,4
308,0.11,0.81,4
312,0.11,0.95,4
319,0.11,0.94,4
324,0.11,0.91,4
332,0.11,0.85,4
348,0.11,0.8,4
349,0.11,0.84,4
394,0.11,0.93,4
418,0.11,0.9,4
437,0.11,0.85,4
477,0.11,0.87,4
480,0.11,0.96,5
493,0.11,0.83,4
503,0.11,0.87,5
506,0.11,0.97,5
514,0.11,0.89,4
537,0.11,0.85,4
540,0.11,0.94,4
551,0.11,0.96,4
560,0.11,0.8,4
567,0.11,0.79,4
598,0.11,0.9,4
600,0.11,0.92,4
605,0.11,0.79,4
608,0.11,0.88,4
633,0.11,0.89,5
671,0.11,0.95,4
672,0.11,0.94,4
677,0.11,0.82,4
683,0.11,0.87,4
698,0.11,0.8,4
709,0.11,0.87,4
718,0.11,0.78,4
735,0.11,0.92,4
739,0.11,0.87,4
740,0.11,0.85,4
744,0.11,0.9,4
746,0.11,0.78,4
778,0.11,0.93,4
780,0.11,0.9,4
792,0.11,0.87,4
795,0.11,0.79,4
798,0.11,0.91,4
799,0.11,0.93,4
810,0.11,0.97,4
818,0.11,0.87,4
821,0.11,0.93,4
826,0.11,0.86,4
836,0.11,0.78,4
842,0.11,0.85,4
858,0.11,0.78,4
876,0.11,0.94,5
883,0.11,0.79,4
889,0.11,0.83,4
890,0.11,0.79,4
899,0.11,0.77,4
917,0.11,0.82,4
919,0.11,0.85,4
926,0.11,0.8,4
938,0.11,0.8,4
943,0.11,0.89,4
945,0.11,0.85,4
950,0.11,0.95,4
973,0.11,0.74,5
978,0.11,0.87,4
980,0.11,0.95,4
986,0.11,0.55,3
1002,0.11,0.85,4
1014,0.11,0.78,4
1032,0.11,0.93,3
1041,0.11,0.89,4
1064,0.11,0.91,4
1095,0.11,0.77,4
1101,0.11,0.83,4
1105,0.11,0.89,4
1115,0.11,0.86,4
1121,0.11,0.91,4
1130,0.11,0.93,4
1136,0.11,0.87,4
1156,0.11,0.89,4
1160,0.11,0.95,5
1162,0.11,0.94,4
1165,0.11,0.93,4
1172,0.11,0.91,4
1174,0.11,0.91,4
1184,0.11,0.77,4
1187,0.11,0.96,4
1191,0.11,0.89,4
1211,0.11,0.83,4
1232,0.11,0.98,4
1263,0.11,0.84,4
1272,0.11,0.97,4
1307,0.11,0.93,4
1316,0.11,0.81,4
1319,0.11,0.96,4
1334,0.11,0.89,4
1352,0.11,0.77,4
1361,0.11,0.83,5
1370,0.11,0.89,4
1378,0.11,0.86,4
1385,0.11,0.91,4
1391,0.11,0.79,4
1400,0.11,0.86,4
1402,0.11,0.87,4
1417,0.11,0.85,4
1418,0.11,0.96,5
1442,0.11,0.83,5
1444,0.11,0.88,4
1448,0.11,0.89,4
1484,0.11,0.87,4
1486,0.11,0.88,4
1487,0.11,0.97,4
1501,0.11,0.83,4
1562,0.11,0.88,4
1574,0.11,0.9,4
1583,0.11,0.8,5
1601,0.11,0.93,4
1609,0.11,0.87,5
1626,0.11,0.86,4
1643,0.11,0.78,4
1646,0.11,0.78,4
1652,0.11,0.85,4
1658,0.11,0.86,4
1711,0.11,0.97,4
1718,0.11,0.96,4
1724,0.11,0.87,4
1728,0.11,0.94,4
1735,0.11,0.88,4
1737,0.11,0.96,4
1747,0.11,0.89,4
1752,0.11,0.9,4
1774,0.11,0.87,4
1799,0.11,0.92,4
1802,0.11,0.79,4
1803,0.11,0.88,4
1808,0.11,0.94,5
1816,0.11,0.8,4
1820,0.11,0.82,4
1822,0.11,0.88,4
1857,0.11,0.92,4
1858,0.11,0.9,4
1862,0.11,0.92,4
1866,0.11,0.93,5
1870,0.11,0.77,4
1877,0.11,0.8,4
1887,0.11,0.86,4
1890,0.11,0.95,4
1895,0.11,0.89,4
1937,0.11,0.97,4
1962,0.11,0.96,4
1983,0.11,0.79,4
1986,0.11,0.84,4
1997,0.11,0.92,4
302,0.12,1,4
1565,0.12,0.8,2
2087,0.12,0.87,5
2371,0.12,0.55,4
2917,0.12,0.47,5
3039,0.12,0.78,5
3129,0.12,0.93,6
3203,0.12,0.61,6
4026,0.12,0.58,2
4684,0.12,0.7,4
5006,0.12,0.6,4
5336,0.12,0.73,3
7772,0.12,0.39,4
7807,0.12,0.82,4
7821,0.12,0.84,6
8364,0.12,0.59,6
8655,0.12,0.42,2
8745,0.12,0.5,4
8762,0.12,0.95,3
9283,0.12,0.9,3
9867,0.12,0.81,6
10132,0.12,0.65,6
10327,0.12,0.84,4
10361,0.12,0.7,3
10862,0.12,0.61,3
11069,0.12,0.49,5
12302,0.12,1,4
13073,0.12,0.61,3
13280,0.12,0.49,5
14513,0.12,1,4
10933,0.13,0.61,5
11003,0.13,0.5,5
11116,0.13,0.97,6
11143,0.13,0.9,6
12051,0.13,0.78,2
12863,0.13,0.76,4
12938,0.13,0.84,5
12996,0.13,0.62,3
13144,0.13,0.61,5
13214,0.13,0.5,5
13327,0.13,0.97,6
13354,0.13,0.9,6
14262,0.13,0.78,2
51,0.13,0.78,2
2176,0.13,0.59,5
2315,0.13,0.43,5
2500,0.13,0.67,4
2795,0.13,0.89,6
2842,0.13,0.69,4
3229,0.13,0.8,5
3378,0.13,0.67,6
3400,0.13,1,5
3474,0.13,0.91,5
3516,0.13,0.87,4
3537,0.13,0.91,5
4112,0.13,1,3
4203,0.13,0.65,4
4232,0.13,0.72,5
4324,0.13,0.76,3
4770,0.13,0.95,2
5274,0.13,0.63,6
6653,0.13,0.88,5
6798,0.13,0.49,4
6861,0.13,0.93,5
7128,0.13,0.53,4
7206,0.13,0.65,5
7288,0.13,0.72,4
7731,0.13,0.72,3
7753,0.13,0.74,4
7873,0.13,0.52,3
8679,0.13,0.6,5
8729,0.13,0.73,5
9417,0.13,0.62,6
9729,0.13,0.94,5
9831,0.13,0.58,4
10008,0.13,0.77,5
10119,0.13,0.72,4
10225,0.13,0.76,5
10306,0.13,0.48,3
10356,0.13,0.97,2
10547,0.13,0.61,5
10652,0.13,0.76,4
10727,0.13,0.84,5
10785,0.13,0.62,3
5862,0.14,0.74,5
5890,0.14,0.52,6
5952,0.14,0.79,6
6113,0.14,0.95,5
6121,0.14,0.52,2
6441,0.14,0.74,5
6471,0.14,0.72,5
6473,0.14,0.98,5
6692,0.14,0.72,4
6881,0.14,0.71,3
7245,0.14,0.99,4
7489,0.14,0.93,4
7507,0.14,0.41,3
7718,0.14,0.8,3
7838,0.14,0.98,5
8038,0.14,0.54,4
8234,0.14,0.51,5
8867,0.14,0.57,5
9092,0.14,0.73,4
9170,0.14,0.99,4
9244,0.14,0.63,5
9418,0.14,0.89,6
9569,0.14,0.57,5
9829,0.14,0.83,6
9931,0.14,0.88,4
10033,0.14,0.58,3
10133,0.14,0.49,4
10336,0.14,0.43,3
10340,0.14,0.76,4
10715,0.14,0.66,4
10749,0.14,0.73,5
11070,0.14,0.56,4
11298,0.14,0.58,10
11349,0.14,0.76,10
11395,0.14,0.79,4
11694,0.14,0.58,5
11971,0.14,0.38,6
12121,0.14,0.62,4
12926,0.14,0.66,4
12960,0.14,0.73,5
13281,0.14,0.56,4
13509,0.14,0.58,10
13560,0.14,0.76,10
13606,0.14,0.79,4
13905,0.14,0.58,5
14182,0.14,0.38,6
14332,0.14,0.62,4
14946,0.14,0.75,5
121,0.14,0.62,4
875,0.14,0.73,5
1389,0.14,0.7,3
1559,0.14,0.61,5
1666,0.14,0.55,5
1832,0.14,0.47,2
1910,0.14,0.75,5
2203,0.14,0.64,5
2340,0.14,0.51,4
2462,0.14,0.77,5
2466,0.14,0.52,6
2613,0.14,1,5
2792,0.14,0.9,4
2965,0.14,0.83,6
3488,0.14,0.46,6
3926,0.14,0.68,5
4016,0.14,0.68,5
4127,0.14,0.76,6
4253,0.14,0.66,5
4348,0.14,0.51,6
4752,0.14,0.83,5
4849,0.14,0.83,6
4975,0.14,0.81,3
4984,0.14,0.73,6
5356,0.14,0.96,5
814,0.15,0.55,4
1407,0.15,0.62,3
1993,0.15,0.63,3
2066,0.15,0.97,5
2103,0.15,0.53,3
2236,0.15,0.74,2
2382,0.15,0.53,5
2384,0.15,0.8,2
2421,0.15,0.51,5
2728,0.15,0.56,5
2950,0.15,0.86,4
3073,0.15,0.85,2
3165,0.15,0.93,5
3365,0.15,0.84,5
3437,0.15,0.36,2
3519,0.15,0.76,4
3560,0.15,0.52,6
3630,0.15,0.67,5
3980,0.15,0.74,3
4010,0.15,0.81,5
4052,0.15,0.89,6
4103,0.15,0.61,6
4168,0.15,0.94,6
4264,0.15,0.67,3
4751,0.15,0.42,3
4813,0.15,0.91,3
4843,0.15,0.7,4
5652,0.15,0.76,6
5796,0.15,0.52,4
5841,0.15,0.91,4
5965,0.15,0.67,2
6087,0.15,0.9,4
6112,0.15,0.44,2
6119,0.15,0.87,4
6190,0.15,0.91,3
6198,0.15,0.39,4
6420,0.15,0.48,6
6548,0.15,0.78,3
6583,0.15,0.68,2
6587,0.15,0.74,3
6922,0.15,0.67,5
7493,0.15,0.98,2
8388,0.15,0.55,3
8492,0.15,0.66,4
8518,0.15,0.48,6
8681,0.15,0.96,6
8750,0.15,0.84,6
